"Message Text when Approved quote for Customer","Message Text when Approved quote for Customer"
"Message Text when Expired quote for Customer","Message Text when Expired quote for Customer"
"Message Text when Re-New quote for Customer","Message Text when Re-New quote for Customer"
"Store View","Store View"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
Expiry,Expiry
Close,Close
ID,ID
"Product Sku","Product Sku"
Email,Email
Created,Created
"Quick RFQ","Quick RFQ"
